Jurisdictions,Effective Date,Valid Through Date,Bans_Prohibit,Prohibit_Req,Prohibit_When_12 weeks postfertilization (14 weeks LMP),Prohibit_When_13 weeks postfertilization (15 weeks LMP),Prohibit_When_18 weeks postfertilization (20 weeks LMP),Prohibit_When20 weeks postfertilization (22 weeks LMP),Prohibit_When_22 weeks postfertilization (24 weeks LMP),Prohibit_When_24 weeks postfertilization (26 weeks LMP),Prohibit_When_25 weeks postfertilization (27 weeks LMP),Prohibit_When_Viability,Prohibit_When_3rd trimester,Prohibit_When_Fetal heartbeat,Prohibit_ExcLife endangerment,Prohibit_ExcSerious health risk,Prohibit_Exc_Fetal anomaly,Prohibit_Exc_Rape,Prohibit_Exc_Incest,Prohibit_Exc_Health,Exc_Req_Must be performed in a hospital,Exc_ReqMust use a method most likely to result in fetal survival,Exc_Req_Second physician must participate,Exc_Req_Second physician must certify the exception,Exc_Req_Two other physicians must certify the exception,Exc_Req_Second physician must attend the abortion,Exc_Req_No requirements,Reason_Prohibit,Reason_What_Race,Reason_What_Sex,Reason_What_Down syndrome,Reason_What_Fetal anomaly,Methods_Prohibit,Methods_ProcedPartial-birth abortions,Methods_ProcedDismemberment abortions,Methods_Proced_Saline method abortions,Methods_ExcLife endangerment,Methods_ExcSerious health risk,Methods_Exc_Fetal anomaly,Methods_Exc_No exceptions,Limited_Law,Limited_Court,Limited_AG
Alabama,10/26/17,12/1/18,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,.,.,.,.,1,1,1,0,1,1,0,0,1,1,0
Alaska,7/19/17,12/1/18,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,1,1,0,0,0,0,0,1,0,0,0
Arizona,8/9/17,12/1/18,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0
Arkansas,1/1/18,12/1/18,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0
California,1/1/14,12/1/18,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,.,.,.,.,0,.,.,.,.,.,.,.,0,0,0
Colorado,12/1/18,12/1/18,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,.,.,.,0,0,0
Connecticut,8/1/05,12/1/18,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,.,.,.,.,0,.,.,.,.,.,.,.,0,0,0
Delaware,6/16/17,12/1/18,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,.,.,.,.,0,.,.,.,.,.,.,.,0,0,0
District of Columbia,12/1/18,12/1/18,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,.,.,.,0,0,0
Florida,10/1/18,12/1/18,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,.,.,.,.,1,1,0,0,1,0,0,0,1,1,0
Georgia,5/9/17,12/1/18,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,.,.,.,.,1,1,0,0,1,0,0,0,0,0,0
Hawaii,4/3/08,12/1/18,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,.,.,.,0,0,0
Idaho,3/6/13,12/1/18,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,.,.,.,.,1,1,0,0,1,0,0,0,1,1,0
Illinois,2/13/98,12/1/18,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
Indiana,7/1/18,12/1/18,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0
Iowa,7/1/18,12/1/18,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,.,.,.,.,1,1,0,0,1,0,0,0,1,1,0
Kansas,1/22/16,12/1/18,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0
Kentucky,4/10/18,12/1/18,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,.,.,.,.,1,1,1,1,1,1,0,0,1,1,0
Louisiana,5/23/18,12/1/18,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0
Maine,4/15/93,12/1/18,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,.,.,.,.,0,.,.,.,.,.,.,.,0,0,0
Maryland,10/1/05,12/1/18,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,.,.,.,0,0,0
Massachusetts,7/27/18,12/1/18,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,.,.,.,.,0,.,.,.,.,.,.,.,0,0,0
Michigan,6/4/07,12/1/18,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.,.,.,.,1,1,0,0,1,0,0,0,1,1,0
Minnesota,7/1/15,12/1/18,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,.,.,.,.,0,.,.,.,.,.,.,.,1,1,0
Mississippi,11/20/18,12/1/18,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,.,.,.,.,1,1,1,0,1,1,0,0,1,1,0
Missouri,10/24/17,12/1/18,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,.,.,.,.,1,1,0,0,1,0,0,0,0,0,0
Montana,10/1/05,12/1/18,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,.,.,.,.,1,1,0,0,1,0,0,0,0,0,0
Nebraska,10/15/10,12/1/18,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,.,.,.,.,1,1,0,0,1,1,0,0,0,0,0
Nevada,11/6/90,12/1/18,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,.,.,.,.,0,.,.,.,.,.,.,.,0,0,0
New Hampshire,1/1/13,12/1/18,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,1,1,0,0,1,1,0,0,0,0,0
New Jersey,6/6/11,12/1/18,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,1,1,0,0,1,1,0,0,1,1,0
New Mexico,5/17/00,12/1/18,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,1,1,0,0,1,1,0,0,0,0,0
