Month,feminismW,feminismUS,sexual_assaultW,sexual_assaultUS,womens_rightsW,womens_rightsUS,international_womens_dayW,international_womens_dayUS,intersectionalityW,intersectionalityUS
2004-01,64,56,36,21,53,64,3,4,3,4
2004-02,79,63,38,21,66,82,8,3,9,0
2004-03,91,76,51,21,100,88,16,5,7,0
2004-04,100,93,49,28,85,83,3,3,4,0
2004-05,80,66,42,21,69,85,1,0,5,4
2004-06,42,30,33,19,34,29,1,0,2,0
2004-07,35,28,36,20,25,15,2,2,8,4
2004-08,48,44,39,20,23,12,1,0,3,0
2004-09,55,36,40,17,42,38,2,1,6,3
2004-10,76,60,37,22,65,80,1,0,3,4
2004-11,84,68,39,24,64,74,2,1,8,5
2004-12,73,61,38,17,48,67,3,3,10,3
2005-01,51,40,39,19,52,54,5,1,11,3
2005-02,59,57,39,24,56,66,15,3,5,5
2005-03,76,59,41,23,58,84,55,29,9,8
2005-04,84,84,48,32,69,79,3,1,4,7
2005-05,69,60,40,20,66,69,2,1,5,3
2005-06,42,30,31,19,27,25,1,0,5,3
2005-07,29,25,28,19,17,18,1,0,7,0
2005-08,36,24,34,17,23,13,1,1,2,3
2005-09,47,42,32,18,40,43,3,1,4,2
2005-10,64,50,38,22,54,55,<1,0,7,10
2005-11,69,64,38,22,53,60,1,1,5,4
2005-12,57,56,30,18,39,50,1,1,6,2
2006-01,46,33,32,19,45,52,3,2,2,5
2006-02,51,49,31,19,49,65,12,4,6,3
2006-03,60,49,38,24,56,66,35,17,6,2
2006-04,66,62,40,28,54,66,2,1,9,5
2006-05,58,53,34,21,48,63,1,1,7,9
2006-06,31,23,27,16,21,21,<1,0,4,5
2006-07,22,16,40,18,14,12,1,1,5,2
2006-08,25,20,28,17,16,10,2,1,2,2
2006-09,39,31,29,19,26,29,1,1,6,5
2006-10,47,48,32,18,36,41,1,1,10,6
2006-11,55,57,32,19,40,48,1,0,10,7
2006-12,41,44,26,15,29,34,1,1,7,4
2007-01,36,31,26,17,26,37,4,2,3,1
2007-02,41,39,29,17,31,40,12,3,6,1
2007-03,45,44,33,18,38,53,30,15,9,5
2007-04,51,51,31,20,33,49,2,1,7,5
2007-05,44,46,30,18,40,57,1,1,5,3
2007-06,29,23,27,16,18,22,1,0,5,4
2007-07,19,18,31,17,10,8,<1,<1,4,4
2007-08,22,20,29,19,14,12,1,<1,3,3
2007-09,33,33,27,20,27,29,1,1,8,3
2007-10,43,43,31,22,30,39,1,2,10,10
2007-11,47,48,30,20,32,48,1,<1,4,3
2007-12,39,38,26,14,27,41,2,1,6,7
2008-01,32,25,26,16,26,32,3,1,8,5
2008-02,36,39,26,18,30,44,12,2,7,5
2008-03,40,42,28,21,34,44,22,9,10,8
2008-04,46,53,31,20,37,57,1,<1,11,7
2008-05,39,39,29,16,33,45,1,1,11,7
2008-06,25,21,24,14,16,18,1,1,5,3
2008-07,20,18,23,15,8,10,<1,<1,5,5
2008-08,18,16,23,14,11,13,1,<1,5,2
2008-09,31,35,26,17,24,31,1,1,5,5
2008-10,37,42,28,16,27,37,1,<1,14,9
2008-11,40,42,28,16,27,40,1,1,8,4
2008-12,34,38,21,14,22,31,1,1,8,8
2009-01,29,27,23,16,21,26,3,1,6,4
2009-02,34,40,26,19,22,36,9,3,9,8
2009-03,40,39,30,19,28,42,19,8,10,6
2009-04,41,50,32,22,29,45,1,1,11,10
2009-05,36,37,46,16,26,41,1,<1,8,7
2009-06,25,24,29,18,13,16,<1,0,8,5
2009-07,16,17,26,18,8,9,1,<1,6,2
2009-08,19,18,24,15,10,7,1,<1,5,3
2009-09,28,29,27,18,16,19,<1,<1,9,4
2009-10,34,41,29,17,22,26,1,<1,12,13
2009-11,38,42,28,18,22,34,1,<1,11,10
2009-12,33,42,24,14,16,29,1,<1,10,9
2010-01,29,25,23,14,16,23,2,<1,8,6
2010-02,31,34,24,15,20,29,5,2,12,12
2010-03,37,41,33,22,24,32,19,10,14,11
2010-04,39,47,32,23,23,36,1,1,12,10
2010-05,36,39,29,18,21,33,<1,1,9,9
2010-06,23,20,29,16,12,12,<1,<1,8,7
2010-07,18,16,26,14,8,8,1,0,6,3
2010-08,19,16,24,14,9,8,<1,<1,6,4
2010-09,27,28,27,15,14,18,<1,1,12,10
2010-10,32,33,29,19,18,26,1,<1,15,13
2010-11,35,36,28,19,20,29,1,1,11,11
2010-12,30,35,25,16,15,24,1,1,12,15
2011-01,25,26,24,18,15,21,2,1,9,7
2011-02,31,37,59,56,18,29,8,2,14,14
2011-03,36,38,31,22,22,31,41,23,15,19
2011-04,37,44,31,25,19,31,1,1,17,13
2011-05,30,36,65,23,19,31,1,1,11,9
2011-06,23,23,46,19,11,15,<1,1,8,4
2011-07,18,20,71,16,6,9,1,<1,6,4
2011-08,19,19,32,18,8,10,1,1,6,5
2011-09,26,28,33,19,14,20,1,<1,13,9
2011-10,32,38,45,22,18,29,1,1,18,16
2011-11,37,40,48,25,21,35,1,1,16,13
2011-12,29,35,46,19,17,27,1,<1,14,16
2012-01,26,29,42,20,15,21,2,<1,13,9
2012-02,33,37,38,20,17,28,6,2,15,16
2012-03,36,39,37,19,20,33,44,35,16,15
2012-04,35,44,41,22,19,31,1,<1,15,17
2012-05,33,37,42,20,18,29,1,<1,15,10
2012-06,22,22,40,18,9,13,<1,<1,10,10
2012-07,21,22,36,19,6,8,<1,<1,10,7
2012-08,21,21,37,21,8,13,1,<1,8,6
2012-09,29,30,35,21,14,23,1,<1,16,13
2012-10,34,37,32,22,19,32,1,<1,19,19
2012-11,34,38,31,20,21,36,1,<1,18,17
2012-12,29,36,29,19,13,22,1,<1,18,21
2013-01,30,30,33,21,13,21,2,1,17,10
2013-02,36,43,30,20,16,25,6,2,20,19
2013-03,41,44,33,22,17,25,35,22,21,23
2013-04,45,52,40,25,16,26,1,1,24,21
2013-05,38,41,42,29,15,26,1,<1,18,14
2013-06,30,31,37,25,9,12,<1,<1,15,12
2013-07,24,26,38,21,6,8,<1,<1,15,10
2013-08,26,28,37,22,6,8,1,1,12,12
2013-09,34,39,33,23,11,17,1,<1,19,20
2013-10,40,48,38,26,15,24,1,<1,27,24
2013-11,44,50,42,28,16,27,1,<1,25,20
2013-12,40,50,31,21,13,23,1,<1,25,25
2014-01,38,41,30,21,12,22,2,1,23,20
2014-02,43,50,33,24,16,28,6,2,30,31
2014-03,49,55,37,27,17,28,46,21,28,28
2014-04,49,64,42,32,18,30,1,1,30,25
2014-05,51,62,42,33,18,30,1,<1,26,23
2014-06,40,45,40,28,9,12,1,<1,17,11
2014-07,46,52,35,26,7,9,1,<1,16,13
2014-08,44,48,36,25,7,8,1,1,16,10
2014-09,63,77,42,36,12,20,<1,1,29,25
2014-10,70,92,44,37,17,28,1,1,36,36
2014-11,75,88,48,37,19,31,1,1,35,32
2014-12,55,71,38,29,12,23,1,1,29,28
2015-01,55,65,35,26,13,19,2,1,26,19
2015-02,59,76,38,28,16,27,5,2,39,38
2015-03,68,80,41,32,21,33,38,21,39,34
2015-04,66,91,45,39,19,35,1,1,40,41
2015-05,65,84,37,28,18,33,1,1,34,28
2015-06,50,58,32,24,10,15,1,<1,27,19
2015-07,44,52,33,25,6,10,1,<1,30,23
2015-08,44,52,36,29,9,12,1,<1,31,23
2015-09,54,68,38,32,13,23,1,<1,43,38
2015-10,60,77,39,32,17,31,1,1,55,51
2015-11,62,77,41,31,17,31,1,1,49,41
2015-12,56,72,34,27,14,28,1,1,42,38
2016-01,55,64,55,33,15,24,2,1,40,26
2016-02,63,80,52,42,21,33,8,4,56,48
2016-03,69,81,47,37,23,37,49,35,53,45
2016-04,68,86,52,44,23,41,1,1,56,43
2016-05,61,75,45,33,21,37,1,1,48,34
2016-06,49,57,48,39,12,14,1,1,39,27
2016-07,40,45,39,28,9,11,1,<1,36,28
2016-08,43,46,49,32,9,11,1,1,35,24
2016-09,54,62,52,40,14,22,1,1,56,44
2016-10,58,70,81,74,19,32,2,1,59,54
2016-11,66,76,61,48,27,49,1,1,61,51
2016-12,54,61,49,33,16,28,1,1,51,45
2017-01,70,97,47,35,52,100,4,2,92,68
2017-02,64,80,50,38,26,44,11,6,84,78
2017-03,90,100,49,36,30,47,76,73,91,84
2017-04,68,82,54,45,23,40,2,1,75,70
2017-05,61,74,50,37,22,39,2,1,67,52
2017-06,48,49,47,30,10,13,1,1,54,39
2017-07,40,42,44,29,7,10,1,1,48,38
2017-08,38,37,48,33,8,9,1,1,52,36
2017-09,47,50,41,32,13,19,1,1,63,58
2017-10,56,61,74,61,18,30,2,2,77,71
2017-11,59,62,100,94,19,35,2,1,70,62
2017-12,53,58,75,68,15,26,2,1,63,53
2018-01,56,59,71,60,19,33,5,4,76,59
2018-02,60,63,59,48,20,32,15,9,80,68
2018-03,66,67,56,41,24,35,100,100,100,100
2018-04,57,64,60,51,20,35,3,2,78,73
2018-05,57,58,58,44,20,34,3,2,67,57
2018-06,42,37,50,39,11,13,2,2,53,38
2018-07,36,32,47,36,7,8,1,1,45,34
2018-08,37,33,48,38,8,9,2,2,46,35
2018-09,45,43,94,100,13,22,2,1,65,62
2018-10,53,57,82,79,17,31,2,2,80,76
2018-11,51,53,56,43,18,33,3,2,80,72
2018-12,46,46,48,39,14,24,2,2,77,69
2019-01,46,45,54,46,16,25,6,4,69,59
2019-02,48,49,58,46,18,30,17,10,96,96
2019-03,57,52,53,43,21,33,86,79,100,84
2019-04,49,53,56,48,18,34,3,2,85,79
2019-05,45,48,46,38,23,44,2,2,70,62
2019-06,35,28,43,34,10,15,2,2,64,44
2019-07,32,24,45,34,7,10,1,1,52,40
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
