Month,feminismW
2004-01-01,64
2004-02-01,79
2004-03-01,91
2004-04-01,100
2004-05-01,80
2004-06-01,42
2004-07-01,35
2004-08-01,48
2004-09-01,55
2004-10-01,76
2004-11-01,84
2004-12-01,73
2005-01-01,51
2005-02-01,59
2005-03-01,76
2005-04-01,84
2005-05-01,69
2005-06-01,42
2005-07-01,29
2005-08-01,36
2005-09-01,47
2005-10-01,64
2005-11-01,69
2005-12-01,57
2006-01-01,46
2006-02-01,51
2006-03-01,60
2006-04-01,66
2006-05-01,58
2006-06-01,31
2006-07-01,22
2006-08-01,25
2006-09-01,39
2006-10-01,47
2006-11-01,55
2006-12-01,41
2007-01-01,36
2007-02-01,41
2007-03-01,45
2007-04-01,51
2007-05-01,44
2007-06-01,29
2007-07-01,19
2007-08-01,22
2007-09-01,33
2007-10-01,43
2007-11-01,47
2007-12-01,39
2008-01-01,32
2008-02-01,36
2008-03-01,40
2008-04-01,46
2008-05-01,39
2008-06-01,25
2008-07-01,20
2008-08-01,18
2008-09-01,31
2008-10-01,37
2008-11-01,40
2008-12-01,34
2009-01-01,29
2009-02-01,34
2009-03-01,40
2009-04-01,41
2009-05-01,36
2009-06-01,25
2009-07-01,16
2009-08-01,19
2009-09-01,28
2009-10-01,34
2009-11-01,38
2009-12-01,33
2010-01-01,29
2010-02-01,31
2010-03-01,37
2010-04-01,39
2010-05-01,36
2010-06-01,23
2010-07-01,18
2010-08-01,19
2010-09-01,27
2010-10-01,32
2010-11-01,35
2010-12-01,30
2011-01-01,25
2011-02-01,31
2011-03-01,36
2011-04-01,37
2011-05-01,30
2011-06-01,23
2011-07-01,18
2011-08-01,19
2011-09-01,26
2011-10-01,32
2011-11-01,37
2011-12-01,29
2012-01-01,26
2012-02-01,33
2012-03-01,36
2012-04-01,35
2012-05-01,33
2012-06-01,22
2012-07-01,21
2012-08-01,21
2012-09-01,29
2012-10-01,34
2012-11-01,34
2012-12-01,29
2013-01-01,30
2013-02-01,36
2013-03-01,41
2013-04-01,45
2013-05-01,38
2013-06-01,30
2013-07-01,24
2013-08-01,26
2013-09-01,34
2013-10-01,40
2013-11-01,44
2013-12-01,40
2014-01-01,38
2014-02-01,43
2014-03-01,49
2014-04-01,49
2014-05-01,51
2014-06-01,40
2014-07-01,46
2014-08-01,44
2014-09-01,63
2014-10-01,70
2014-11-01,75
2014-12-01,55
2015-01-01,55
2015-02-01,59
2015-03-01,68
2015-04-01,66
2015-05-01,65
2015-06-01,50
2015-07-01,44
2015-08-01,44
2015-09-01,54
2015-10-01,60
2015-11-01,62
2015-12-01,56
2016-01-01,55
2016-02-01,63
2016-03-01,69
2016-04-01,68
2016-05-01,61
2016-06-01,49
2016-07-01,40
2016-08-01,43
2016-09-01,54
2016-10-01,58
2016-11-01,66
2016-12-01,54
2017-01-01,70
2017-02-01,64
2017-03-01,90
2017-04-01,68
2017-05-01,61
2017-06-01,48
2017-07-01,40
2017-08-01,38
2017-09-01,47
2017-10-01,56
2017-11-01,59
2017-12-01,53
2018-01-01,56
2018-02-01,60
2018-03-01,66
2018-04-01,57
2018-05-01,57
2018-06-01,42
2018-07-01,36
2018-08-01,37
2018-09-01,45
2018-10-01,53
2018-11-01,51
2018-12-01,46
2019-01-01,46
2019-02-01,48
2019-03-01,57
2019-04-01,49
2019-05-01,45
2019-06-01,35
2019-07-01,32
